BACKLIGHTSUN,BACKLIGHTSUN_classes,Coordinates,Coordinates_Joined,DARKNESS,DARKNESS_classes,Datetime,Elevation,Latitude,Longitude,MOTIONBLUR,MOTIONBLUR_classes,Open_Data,Precipitation,RAIN,RAIN_classes,RoadTypes,Scope_Probability,Scope_Probability_Verbose,SignType,Speed,Temperature,Unnamed: 0,VGG_is_correct,VGG_probabilities,VG_labels,class,detailed_class,env_probability ,formattedTime,full_img_pth,geo_probability,hour,img_id,month,rain_sensor,sun_altitude,temp_probability,velocity
25,2,"(51.154238073950566, 10.72771649705792)","(10.72771649705792, 51.154238073950566)",0,1,1524967352,243,51.15423807,10.7277165,0,0,"{""place_id"":199208229,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":2903169,""lat"":""51.1583708"",""lon"":""10.7184046"",""place_rank"":16,""category"":""boundary"",""type"":""administrative"",""importance"":""0.394732080353937"",""addresstype"":""boundary"",""name"":""Sundhausen"",""display_name"":""Sundhausen, Bad Tennstedt, Unstrut-Hainich-Kreis, Thüringen, Deutschland"",""address"":{""city"":""Sundhausen"",""county"":""Unstrut-Hainich-Kreis"",""state"":""Thüringen"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""51.1426646"",""51.1678744"",""10.6845015"",""10.7437362""]}",0.932842315,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",4,17.74488799,15.37924452,26548,FALSE,0.266830891,7,BACKLIGHTSUN,BACKLIGHTSUN,0,2018-04-29 02:02,1558446067_1130_UC2_BACKLIGHTSUN-25.png,1,12.72764111,1558446067_1130,4,0.322380063,57.30163297,1,17.18291657
0,0,"(51.63986597995937, 9.578192658453043)","(9.578192658453043, 51.63986597995937)",0,0,1536725096,148,51.63986598,9.578192658,0,0,"{""place_id"":89316306,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":54381150,""lat"":""51.6405124"",""lon"":""9.5736583"",""place_rank"":26,""category"":""highway"",""type"":""residential"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Wienser Straße"",""display_name"":""Wienser Straße, Bodenfelde, Landkreis Northeim, Niedersachsen, 37194, Deutschland"",""address"":{""road"":""Wienser Straße"",""village"":""Bodenfelde"",""county"":""Landkreis Northeim"",""state"":""Niedersachsen"",""postcode"":""37194"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""51.6398064"",""51.6405124"",""9.5679082"",""9.5736583""]}",0.723451813,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",13,125.6602618,18.1249509,26112,TRUE,1,13,BACKLIGHTSUN,BACKLIGHTSUN,0,2018-09-12 04:04,1558445871_74_UC2_BACKLIGHTSUN-0.png,1,14.89449781,1558445871_74,9,0.934600081,45.49731508,1,17.25919088
0,0,"(49.718653018120484, 8.517494364532125)","(8.517494364532125, 49.71865301812048)",0,0,1538492217,97,49.71865302,8.517494365,0,0,"{""place_id"":81500348,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":27716918,""lat"":""49.7181782739139"",""lon"":""8.51750149108312"",""place_rank"":26,""category"":""highway"",""type"":""track"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Kapell-Schneise"",""display_name"":""Kapell-Schneise, Groß-Rohrheim, Kreis Bergstraße, Regierungsbezirk Darmstadt, Hessen, 68649, Deutschland"",""address"":{""road"":""Kapell-Schneise"",""village"":""Groß-Rohrheim"",""county"":""Kreis Bergstraße"",""state_district"":""Regierungsbezirk Darmstadt"",""state"":""Hessen"",""postcode"":""68649"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""49.7181225"",""49.7185232"",""8.514099"",""8.5386217""]}",0,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",3,113.2560827,27.39387094,9027,TRUE,0.977079451,3,MOTIONBLUR,MOTIONBLUR,0,2018-10-02 14:56,1557742122_663_UC2_MOTIONBLUR-0.png,1,13.3347512,1557742122_663,10,0.438910309,0.192446608,1,49.91024934
25,1,"(48.09947462125198, 6.969254922442037)","(6.969254922442037, 48.09947462125197)",0,0,1548639336,934,48.09947462,6.969254922,0,0,"{""place_id"":80971038,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":24759573,""lat"":""48.0976992"",""lon"":""6.9701011"",""place_rank"":26,""category"":""highway"",""type"":""tertiary"",""importance"":""0.1"",""addresstype"":""road"",""name"":""D 73"",""display_name"":""D 73, Col d'Osseux, Ban-sur-Meurthe-Clefcy, Saint-Dié-des-Vosges, Vosges, Grand Est, France métropolitaine, 88230, France"",""address"":{""road"":""D 73"",""suburb"":""Col d'Osseux"",""village"":""Ban-sur-Meurthe-Clefcy"",""county"":""Saint-Dié-des-Vosges"",""state"":""Grand Est"",""country"":""France"",""postcode"":""88230"",""country_code"":""fr""},""boundingbox"":[""48.0965262"",""48.1359921"",""6.9530348"",""6.9752165""]}",0.366946854,0,0,road,0,"{'geo': 0, 'env': 1.0, 'img': 1.0, 'total': 0}",10,1.711958173,-8.636555049,27293,TRUE,0.999088049,10,BACKLIGHTSUN,BACKLIGHTSUN,0,2019-01-28 01:35,1558446067_1801_UC2_BACKLIGHTSUN-25.png,0,15.16381228,1558446067_1801,1,0.523274341,54.1679719,1,11.52832012
0,0,"(53.77057170485767, 9.598254057125517)","(9.598254057125516, 53.77057170485767)",0,0,1534280235,-1,53.7705717,9.598254057,0,0,"{""place_id"":83411704,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":32141722,""lat"":""53.7710916875407"",""lon"":""9.59871805253184"",""place_rank"":26,""category"":""highway"",""type"":""secondary"",""importance"":""0.1"",""addresstype"":""road"",""name"":""L 118"",""display_name"":""L 118, Kiebitzreihe, Horst-Herzhorn, Steinburg, Schleswig-Holstein, 25368, Deutschland"",""address"":{""road"":""L 118"",""village"":""Kiebitzreihe"",""county"":""Steinburg"",""state"":""Schleswig-Holstein"",""postcode"":""25368"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""53.7706072"",""53.7759838"",""9.5929337"",""9.599261""]}",1.813998609,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",41,98.59138698,25.58866086,15811,TRUE,0.996147275,41,DARKNESS,DARKNESS,0,2018-08-14 20:57,1557743423_1368_UC2_DARKNESS-0.png,1,23.98074028,1557743423_1368,8,4.313338646,0.364223441,1,9.529596162
0,0,"(53.95898354332711, 9.786666286256501)","(9.7866662862565, 53.958983543327115)",0,0,1536533641,4,53.95898354,9.786666286,0,0,"{""place_id"":92313633,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":69423953,""lat"":""53.9575676397077"",""lon"":""9.78679386752127"",""place_rank"":26,""category"":""highway"",""type"":""residential"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Höhnerbarg"",""display_name"":""Höhnerbarg, Quarnstedt, Kellinghusen, Steinburg, Schleswig-Holstein, 25563, Deutschland"",""address"":{""road"":""Höhnerbarg"",""village"":""Quarnstedt"",""county"":""Steinburg"",""state"":""Schleswig-Holstein"",""postcode"":""25563"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""53.9570217"",""53.9576978"",""9.7825462"",""9.7881137""]}",0.133033488,25,1,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",8,101.6933208,7.585318194,2516,FALSE,0.433111429,7,RAIN,RAIN,0,2018-09-09 22:54,1557744530_2902_UC2_RAIN-25.png,1,15.24631264,1557744530_2902,9,48.22838825,3.909766049,1,0.305575353
0,0,"(52.45668441651232, 10.496588422759483)","(10.496588422759483, 52.45668441651232)",0,0,1553630294,59,52.45668442,10.49658842,75,2,"{""place_id"":194360696,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":585521870,""lat"":""52.4567010815791"",""lon"":""10.4965886405539"",""place_rank"":26,""category"":""highway"",""type"":""track"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Helenriede"",""display_name"":""Helenriede, Gifhorn, Niedersachsen, 38518, Deutschland"",""address"":{""road"":""Helenriede"",""town"":""Gifhorn"",""county"":""Gifhorn"",""state"":""Niedersachsen"",""postcode"":""38518"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""52.4566971"",""52.4567029"",""10.4964495"",""10.4968933""]}",2.252578752,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",4,75.68948144,15.28646205,14597,FALSE,0.330420196,2,MOTIONBLUR,MOTIONBLUR,0,2019-03-26 19:58,1557742802_2976_UC2_MOTIONBLUR-75.png,1,13.46467615,1557742802_2976,3,2.770693109,2.372585203,1,95.23092405
0,0,"(50.104737018101744, 6.1523068284714295)","(6.1523068284714295, 50.10473701810174)",0,0,1528693603,469,50.10473702,6.152306828,0,0,"{""place_id"":161083490,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":383473192,""lat"":""50.1076948"",""lon"":""6.1565112"",""place_rank"":26,""category"":""highway"",""type"":""secondary"",""importance"":""0.1"",""addresstype"":""road"",""name"":""L 1"",""display_name"":""L 1, Sevenig (Our), Arzfeld, Eifelkreis Bitburg-Prüm, Rheinland-Pfalz, 54617, Deutschland"",""address"":{""road"":""L 1"",""village"":""Sevenig (Our)"",""county"":""Eifelkreis Bitburg-Prüm"",""state"":""Rheinland-Pfalz"",""postcode"":""54617"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""50.083202"",""50.1284905"",""6.1469631"",""6.1604296""]}",2.079173611,0,1,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",7,47.65420614,3.547832806,6846,TRUE,0.994222224,7,MOTIONBLUR,MOTIONBLUR,0,2018-06-11 05:06,1557742122_14_UC2_MOTIONBLUR-0.png,1,15.33826244,1557742122_14,6,3.181940416,1.031396089,1,59.42625037
0,0,"(50.13493249074991, 11.318157313776046)","(11.318157313776045, 50.134932490749904)",0,0,1529027465,362,50.13493249,11.31815731,25,1,"{""place_id"":335735,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":135399583,""lat"":""50.1243054"",""lon"":""11.3220787"",""place_rank"":19,""category"":""place"",""type"":""village"",""importance"":""0.20436424356534"",""addresstype"":""place"",""name"":""Mainroth"",""display_name"":""Mainroth, Landkreis Lichtenfels, Oberfranken, Bayern, 95336, Deutschland"",""address"":{""village"":""Mainroth"",""county"":""Landkreis Lichtenfels"",""state_district"":""Oberfranken"",""state"":""Bayern"",""postcode"":""95336"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""50.0843054"",""50.1643054"",""11.2820787"",""11.3620787""]}",1.114285811,0,0,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",25,51.64347258,21.78548994,10860,TRUE,0.549014926,25,MOTIONBLUR,MOTIONBLUR,0,2018-06-15 01:51,1557742475_2311_UC2_MOTIONBLUR-25.png,1,14.14767842,1557742475_2311,6,3.929179818,4.482938242,1,54.94325129
0,0,"(48.369115888543185, 11.91998649341647)","(11.919986493416472, 48.369115888543185)",25,0,1524765383,443,48.36911589,11.91998649,0,0,"{""place_id"":118379327,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":183760982,""lat"":""48.367872"",""lon"":""11.923442"",""place_rank"":26,""category"":""highway"",""type"":""residential"",""importance"":""0.1"",""addresstype"":""road"",""name"":null,""display_name"":""Berglern, Wartenberg (VGem), Landkreis Erding, Obb, Bayern, 85459, Deutschland"",""address"":{""village"":""Berglern"",""county"":""Wartenberg (VGem)"",""state_district"":""Obb"",""state"":""Bayern"",""postcode"":""85459"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""48.366968"",""48.367872"",""11.923442"",""11.9242467""]}",0.124220626,25,1,road,1,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",14,31.11632798,24.83856272,30487,TRUE,0.999999881,14,RAIN_DARKNESS,RAIN_DARKNESS,0,2018-04-26 17:56,1558451998_177_UC2_RAIN-25_DARKNESS-25.png,1,20.62731264,1558451998_177,4,1.179611383,1.604609338,1,12.20808254
