Unnamed: 0,BACKLIGHTSUN,DARKNESS,MOTIONBLUR,RAIN,SignType,img_id,class,detailed_class,full_img_pth,hour,rain_sensor,sun_altitude,velocity,DARKNESS_classes,RAIN_classes,MOTIONBLUR_classes,BACKLIGHTSUN_classes,VGG_is_correct,VG_labels,VGG_probabilities,Latitude,Longitude,Coordinates,Datetime,formattedTime,Speed,month,Temperature,Precipitation,Elevation,Open_Data,RoadTypes,Coordinates_Joined,env_probability ,geo_probability ,Scope_Probability_Verbose,Scope_Probability,temp_probability,geo_probability
26548,25,0,0,0,4,1558446067_1130,BACKLIGHTSUN,BACKLIGHTSUN,1558446067_1130_UC2_BACKLIGHTSUN-25.png,12.72764111,0.322380063,57.30163297,17.18291657,1,0,0,2,False,7,0.266830891,50.46336529089504,7.7283403908529085,"(50.46336529089504, 7.7283403908529085)",1532612872,2018-07-26 13:47:52,97.70851576480051,7,15.718165617586507,2.4576215222476927,329.0,"{""place_id"":87454932,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":43937741,""lat"":""50.464099564891"",""lon"":""7.72836357845277"",""place_rank"":26,""category"":""highway"",""type"":""residential"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Kleinfeldchen"",""display_name"":""Kleinfeldchen, Fuchshof, Ransbach-Baumbach, Westerwaldkreis, Rheinland-Pfalz, 56235, Deutschland"",""address"":{""road"":""Kleinfeldchen"",""suburb"":""Fuchshof"",""town"":""Ransbach-Baumbach"",""county"":""Westerwaldkreis"",""state"":""Rheinland-Pfalz"",""postcode"":""56235"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""50.4640895"",""50.4655018"",""7.7275298"",""7.7293554""]}",road,"(7.7283403908529085, 50.46336529089504)",0,0,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",1.0,1.0,1.0
26112,0,0,0,0,13,1558445871_74,BACKLIGHTSUN,BACKLIGHTSUN,1558445871_74_UC2_BACKLIGHTSUN-0.png,14.89449781,0.934600081,45.49731508,17.25919088,0,0,0,0,True,13,1.0,48.10090078558818,9.428295629057182,"(48.10090078558818, 9.428295629057182)",1552390887,2019-03-12 11:41:27,14.921733550326193,3,-3.948630206256324,0.991389881130959,537.0,"{""place_id"":180288891,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":489069887,""lat"":""48.1022891018063"",""lon"":""9.42534330819864"",""place_rank"":26,""category"":""highway"",""type"":""unclassified"",""importance"":""0.1"",""addresstype"":""road"",""name"":null,""display_name"":""Ertingen, Gemeindeverwaltungsverband Riedlingen, Landkreis Biberach, Regierungsbezirk Tübingen, Baden-Württemberg, 88521, Deutschland"",""address"":{""village"":""Ertingen"",""county"":""Gemeindeverwaltungsverband Riedlingen"",""state_district"":""Regierungsbezirk Tübingen"",""state"":""Baden-Württemberg"",""postcode"":""88521"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""48.0965048"",""48.1035127"",""9.4240379"",""9.4259187""]}",road,"(9.428295629057182, 48.10090078558818)",0,0,"{'geo': 1, 'env': 0.5, 'img': 1.0, 'total': 2.5}",0.8333333333333334,0.5,1.0
9027,0,0,0,0,3,1557742122_663,MOTIONBLUR,MOTIONBLUR,1557742122_663_UC2_MOTIONBLUR-0.png,13.3347512,0.438910309,0.192446608,49.91024934,0,0,0,0,True,3,0.977079451,49.104110917828024,8.337304719319084,"(49.10411091782802, 8.337304719319084)",1525054453,2018-04-30 02:14:13,91.19062015360808,4,27.019084193806748,0.06905900799282573,102.0,"{""place_id"":198086649,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""relation"",""osm_id"":1250428,""lat"":""49.1166189"",""lon"":""8.3204809"",""place_rank"":16,""category"":""boundary"",""type"":""administrative"",""importance"":""0.398381088573966"",""addresstype"":""boundary"",""name"":""Neupotz"",""display_name"":""Neupotz, Jockgrim, Landkreis Germersheim, Rheinland-Pfalz, 76777, Deutschland"",""address"":{""city"":""Neupotz"",""county"":""Jockgrim"",""state"":""Rheinland-Pfalz"",""postcode"":""76777"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""49.0867286"",""49.1282129"",""8.306656"",""8.3597667""]}",road,"(8.337304719319084, 49.104110917828024)",0,0,"{'geo': 1, 'env': 0.5, 'img': 1.0, 'total': 2.5}",0.8333333333333334,0.5,1.0
27293,25,0,0,0,10,1558446067_1801,BACKLIGHTSUN,BACKLIGHTSUN,1558446067_1801_UC2_BACKLIGHTSUN-25.png,15.16381228,0.523274341,54.16797190000001,11.52832012,0,0,0,1,True,10,0.999088049,48.98381702213255,11.468744567943366,"(48.98381702213255, 11.468744567943364)",1545810245,2018-12-26 07:44:05,40.34945627546278,12,-5.1491011559095385,1.7398524200366925,514.0,"{""place_id"":104617016,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":127687262,""lat"":""48.9837342019041"",""lon"":""11.4682096466997"",""place_rank"":26,""category"":""highway"",""type"":""unclassified"",""importance"":""0.1"",""addresstype"":""road"",""name"":null,""display_name"":""Waldsiedlung, Beilngries, Landkreis Eichstätt, Obb, Bayern, 92339, Deutschland"",""address"":{""neighbourhood"":""Waldsiedlung"",""town"":""Beilngries"",""county"":""Landkreis Eichstätt"",""state_district"":""Obb"",""state"":""Bayern"",""postcode"":""92339"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""48.9722672"",""48.9915048"",""11.4644619"",""11.4756334""]}",road,"(11.468744567943366, 48.98381702213255)",0,0,"{'geo': 1, 'env': 0.5, 'img': 1.0, 'total': 2.5}",0.8333333333333334,0.5,1.0
15811,0,0,0,0,41,1557743423_1368,DARKNESS,DARKNESS,1557743423_1368_UC2_DARKNESS-0.png,23.98074028,4.313338646,0.364223441,9.529596162,0,0,0,0,True,41,0.996147275,48.71376923390342,9.724809489521373,"(48.71376923390342, 9.724809489521371)",1534035317,2018-08-12 00:55:17,99.82260437035042,8,17.62916985966201,0.7345220927993494,410.5,"{""place_id"":97514093,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":98321910,""lat"":""48.7146926922832"",""lon"":""9.72479534280573"",""place_rank"":26,""category"":""highway"",""type"":""track"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Braunweg"",""display_name"":""Braunweg, Eislingen/Fils, Gemeindeverwaltungsverband Eislingen-Ottenbach-Salach, Landkreis Göppingen, Regierungsbezirk Stuttgart, Baden-Württemberg, 73054, Deutschland"",""address"":{""road"":""Braunweg"",""town"":""Eislingen/Fils"",""county"":""Gemeindeverwaltungsverband Eislingen-Ottenbach-Salach"",""state_district"":""Regierungsbezirk Stuttgart"",""state"":""Baden-Württemberg"",""postcode"":""73054"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""48.7144398"",""48.7167494"",""9.7233032"",""9.7317977""]}",road,"(9.724809489521373, 48.71376923390342)",0,0,"{'geo': 1, 'env': 0.5, 'img': 1.0, 'total': 2.5}",0.8333333333333334,0.5,1.0
2516,0,0,0,25,8,1557744530_2902,RAIN,RAIN,1557744530_2902_UC2_RAIN-25.png,15.24631264,48.22838825,3.909766049,0.305575353,0,1,0,0,False,7,0.433111429,50.76331817793397,6.0681213821340085,"(50.76331817793397, 6.068121382134008)",1532147047,2018-07-21 04:24:07,2.558945454914197,7,11.350167190242699,0.03707395958789095,210.0,"{""place_id"":110144177,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":151692008,""lat"":""50.7631325"",""lon"":""6.06814887945728"",""place_rank"":30,""category"":""building"",""type"":""yes"",""importance"":""0"",""addresstype"":""building"",""name"":null,""display_name"":""164, Lütticher Straße, Hanbruch, Burtscheid, Aachen-Mitte, Aachen, Städteregion Aachen, Regierungsbezirk Köln, Nordrhein-Westfalen, 52074, Deutschland"",""address"":{""house_number"":""164"",""road"":""Lütticher Straße"",""neighbourhood"":""Hanbruch"",""suburb"":""Burtscheid"",""city_district"":""Aachen-Mitte"",""city"":""Aachen"",""county"":""Städteregion Aachen"",""state_district"":""Regierungsbezirk Köln"",""state"":""Nordrhein-Westfalen"",""postcode"":""52074"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""50.7630674"",""50.7631978"",""6.0680347"",""6.068263""]}",road,"(6.0681213821340085, 50.76331817793397)",0,0,"{'geo': 1, 'env': 1.0, 'img': 1.0, 'total': 3.0}",1.0,1.0,1.0
14597,0,0,75,0,4,1557742802_2976,MOTIONBLUR,MOTIONBLUR,1557742802_2976_UC2_MOTIONBLUR-75.png,13.46467615,2.770693109,2.3725852030000003,95.23092405,0,0,2,0,False,2,0.330420196,51.86865977318047,9.156955454344507,"(51.86865977318046, 9.156955454344507)",1540290281,2018-10-23 10:24:41,26.68002490129037,10,16.931631255074848,0.0,187.0,"{""place_id"":84649135,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":35635592,""lat"":""51.866796"",""lon"":""9.1518161"",""place_rank"":26,""category"":""highway"",""type"":""track"",""importance"":""0.1"",""addresstype"":""road"",""name"":""Breitenhaupter Weg"",""display_name"":""Breitenhaupter Weg, Gut Breitenhaupt, Rolfzen, Steinheim, Kreis Höxter, Regierungsbezirk Detmold, Nordrhein-Westfalen, 32839, Deutschland"",""address"":{""road"":""Breitenhaupter Weg"",""farmyard"":""Gut Breitenhaupt"",""city_district"":""Rolfzen"",""town"":""Steinheim"",""county"":""Kreis Höxter"",""state_district"":""Regierungsbezirk Detmold"",""state"":""Nordrhein-Westfalen"",""postcode"":""32839"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""51.864231"",""51.866796"",""9.1417903"",""9.1518161""]}",road,"(9.156955454344507, 51.86865977318047)",0,0,"{'geo': 1, 'env': 0.5, 'img': 1.0, 'total': 2.5}",0.8333333333333334,0.5,1.0
6846,0,0,0,0,7,1557742122_14,MOTIONBLUR,MOTIONBLUR,1557742122_14_UC2_MOTIONBLUR-0.png,15.33826244,3.181940416,1.031396089,59.42625037,0,1,0,0,True,7,0.994222224,48.03079551050554,6.543426591767522,"(48.03079551050554, 6.543426591767522)",1533174294,2018-08-02 01:44:54,115.93480862452648,8,31.39452190975483,1.4303000604324942,508.0,"{""place_id"":43301675,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""node"",""osm_id"":3134531397,""lat"":""48.0312687"",""lon"":""6.5434041"",""place_rank"":30,""category"":""place"",""type"":""house"",""importance"":""0"",""addresstype"":""place"",""name"":null,""display_name"":""30, Anty, Saint-Nabord, Épinal, Vosges, Grand Est, France métropolitaine, 88200, France"",""address"":{""house_number"":""30"",""road"":""Anty"",""village"":""Saint-Nabord"",""county"":""Épinal"",""state"":""Grand Est"",""country"":""France"",""postcode"":""88200"",""country_code"":""fr""},""boundingbox"":[""48.0311687"",""48.0313687"",""6.5433041"",""6.5435041""]}",road,"(6.543426591767522, 48.03079551050554)",0,0,"{'geo': 0, 'env': 0.5, 'img': 1.0, 'total': 0}",0.0,0.5,0.0
10860,0,0,25,0,25,1557742475_2311,MOTIONBLUR,MOTIONBLUR,1557742475_2311_UC2_MOTIONBLUR-25.png,14.14767842,3.929179818,4.482938242,54.94325129,0,0,1,0,True,25,0.549014926,52.94976223657964,9.67459989517839,"(52.94976223657963, 9.67459989517839)",1540191699,2018-10-22 07:01:39,39.57696026078867,10,26.82378646171753,0.0,67.0,"{""place_id"":96958858,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":95468141,""lat"":""52.9475863102532"",""lon"":""9.67323983903597"",""place_rank"":26,""category"":""highway"",""type"":""primary"",""importance"":""0.1"",""addresstype"":""road"",""name"":""B 440"",""display_name"":""B 440, Bomlitz, Heidekreis, Niedersachsen, 29699, Deutschland"",""address"":{""road"":""B 440"",""town"":""Bomlitz"",""county"":""Heidekreis"",""state"":""Niedersachsen"",""postcode"":""29699"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""52.9401009"",""52.9548946"",""9.6604286"",""9.6847551""]}",road,"(9.67459989517839, 52.94976223657964)",0,0,"{'geo': 1, 'env': 0.5, 'img': 1.0, 'total': 2.5}",0.8333333333333334,0.5,1.0
30487,0,25,0,25,14,1558451998_177,RAIN_DARKNESS,RAIN_DARKNESS,1558451998_177_UC2_RAIN-25_DARKNESS-25.png,20.62731264,1.179611383,1.6046093380000002,12.20808254,0,1,0,0,True,14,0.999999881,49.72044427715449,11.302310060387967,"(49.720444277154485, 11.302310060387967)",1544943591,2018-12-16 06:59:51,61.341561431626985,12,-4.5792812368410685,1.1721120354432917,537.0,"{""place_id"":82430795,""licence"":""Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright"",""osm_type"":""way"",""osm_id"":28664435,""lat"":""49.7210064581557"",""lon"":""11.3020627738368"",""place_rank"":26,""category"":""highway"",""type"":""unclassified"",""importance"":""0.1"",""addresstype"":""road"",""name"":null,""display_name"":""Egloffstein, Landkreis Forchheim, Oberfranken, Bayern, 91349, Deutschland"",""address"":{""village"":""Egloffstein"",""county"":""Landkreis Forchheim"",""state_district"":""Oberfranken"",""state"":""Bayern"",""postcode"":""91349"",""country"":""Deutschland"",""country_code"":""de""},""boundingbox"":[""49.7193019"",""49.721178"",""11.2995425"",""11.3024403""]}",road,"(11.302310060387967, 49.72044427715449)",0,0,"{'geo': 1, 'env': 0.5, 'img': 1.0, 'total': 2.5}",0.8333333333333334,0.5,1.0
